iso3_o,2000_0.0001,2010_0.0001,2020_0.0001,2000_0.0002,2010_0.0002,2020_0.0002,2000_0.0003,2010_0.0003,2020_0.0003,2000_0.0004,2010_0.0004,2020_0.0004,2000_0.0005,2010_0.0005,2020_0.0005,avg_2000,avg_2010,avg_2020,2000_quin,2010_quin,2020_quin
PRY,2,4,3,1,4,3,1,3,3,1,3,3,1,3,3,1.2,3.4,3,1,2,2
CHN,2,6,5,0,3,4,0,2,2,0,0,2,0,0,2,0.4,2.2,3,1,1,2
CZE,7,4,4,5,3,3,5,2,3,4,2,2,4,2,2,5,2.6,2.8,3,1,1
ISR,9,9,6,5,4,2,5,2,2,3,2,2,3,2,2,5,3.8,2.8,3,2,1
NOR,5,6,3,5,5,3,5,4,3,4,2,3,3,2,2,4.4,3.8,2.8,2,2,1
TCD,4,4,4,4,4,3,4,4,3,4,4,2,4,4,2,4,4,2.8,2,2,1
USA,6,6,8,3,3,3,3,2,1,2,1,1,2,1,1,3.2,2.6,2.8,2,1,1
MRT,6,8,3,4,5,3,4,5,3,4,5,2,4,4,2,4.4,5.4,2.6,2,3,1
CMR,2,3,3,2,3,3,1,3,3,1,0,2,1,0,2,1.4,1.8,2.6,1,1,1
SAU,4,7,5,3,2,2,2,2,2,2,2,2,2,2,2,2.6,3,2.6,1,1,1
SWE,9,7,4,7,4,2,4,3,2,4,3,2,4,2,2,5.6,3.8,2.4,3,2,1
UGA,4,3,3,3,3,3,3,3,2,3,3,2,3,3,2,3.2,3,2.4,2,1,1
JPN,5,4,4,2,3,2,2,3,2,2,1,2,2,1,1,2.6,2.4,2.2,1,1,1
NGA,3,2,3,2,2,3,1,1,3,1,1,2,0,1,0,1.4,1.4,2.2,1,1,1
BFA,2,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2.6,2,1,1,1
LSO,3,3,2,3,3,2,2,3,2,2,3,2,2,3,2,2.4,3,2,1,1,1
TJK,6,5,2,6,4,2,5,4,2,5,4,2,5,3,2,5.4,4,2,3,2,1
ETH,2,3,4,2,3,2,2,2,2,2,1,1,2,1,1,2,2,2,1,1,1
CRI,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1.2,1.6,1,1,1
FIN,7,5,4,6,4,1,6,2,1,4,2,1,3,1,1,5.2,2.8,1.6,3,1,1
TZA,1,2,2,1,2,2,1,2,2,1,1,2,1,1,0,1,1.6,1.6,1,1,1
OMN,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1.6,1.6,1.4,1,1,1
KEN,3,2,2,2,2,2,2,2,1,2,2,1,1,1,0,2,1.8,1.2,1,1,1
GTM,3,1,1,3,1,1,3,1,1,2,1,1,1,1,1,2.4,1,1,1,1,1
MDG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MEX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PAN,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1
SLE,5,3,1,4,3,1,4,2,1,3,1,1,3,1,1,3.8,2,1,2,1,1
ZMB,2,3,1,2,3,1,2,1,1,2,1,1,2,1,0,2,1.8,0.8,1,1,1
NAM,1,3,2,0,3,0,0,2,0,0,1,0,0,0,0,0.2,1.8,0.4,1,1,1
BWA,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.8,0,1,1,1
PNG,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1
ERI,9,12,,9,10,,8,10,,8,10,,8,8,,8.4,10,,4,5,
TKM,3,4,,3,4,,3,3,,3,2,,3,2,,3,3,,1,1,
VEN,6,7,,6,4,,5,4,,5,4,,4,4,,5.2,4.6,,3,2,
YEM,6,4,,4,3,,4,2,,4,2,,4,1,,4.4,2.4,,2,1,
